date,variable,model,count,mae_kw,rmse_kw,bias_kw
2025-05-28,load,Yesterday,144,128.98152917,172.00874033,5.20750556
2025-05-28,load,Last Week,144,131.36791944,163.00149669,15.05016944
2025-05-28,load,Ridge phase-aware,144,127.62646782,158.38357526,5.69273266
2025-05-29,load,Yesterday,144,148.61788403,213.08852946,-21.56112708
2025-05-29,load,Last Week,144,143.30912431,179.36277703,-29.56809375
2025-05-29,load,Ridge phase-aware,144,144.71947571,181.56529237,-34.46066899
2025-05-30,load,Yesterday,144,1909.74637986,2091.17366199,1909.46207431
2025-05-30,load,Last Week,144,130.66680000,165.51829203,15.46499583
2025-05-30,load,Ridge phase-aware,144,125.40523105,162.76531770,5.17102528
2025-05-31,load,Yesterday,144,175.34741528,255.59880662,-6.92117083
2025-05-31,load,Last Week,144,149.04413750,194.40772193,-3.52144861
2025-05-31,load,Ridge phase-aware,144,143.77754799,190.53477155,-9.58940019
2025-06-01,load,Yesterday,144,2229.54308819,2398.66584581,-2227.92614375
2025-06-01,load,Last Week,144,366.84841111,462.35212058,-330.36176806
2025-06-01,load,Ridge phase-aware,144,376.18905088,469.98596832,-338.42881134
2025-06-02,load,Yesterday,144,144.41991458,176.49823491,7.00096042
2025-06-02,load,Last Week,144,387.52927292,466.72945785,-361.35698403
2025-06-02,load,Ridge phase-aware,144,379.06266357,455.89277880,-347.37351629
2025-06-03,load,Yesterday,144,140.11699236,176.85575976,0.15401736
2025-06-03,load,Last Week,144,365.74333958,459.12584487,-334.58388403
2025-06-03,load,Ridge phase-aware,144,350.14064164,443.55482544,-313.53988994
2025-06-04,load,Yesterday,144,174.08575208,219.43049749,-19.29179236
2025-06-04,load,Last Week,144,385.03852500,466.00124043,-359.08318194
2025-06-04,load,Ridge phase-aware,144,376.10768416,457.66381002,-350.25026048
2025-06-05,load,Yesterday,144,169.67174375,220.20609360,3.49678819
2025-06-05,load,Last Week,144,356.00150556,439.69630462,-334.02526667
2025-06-05,load,Ridge phase-aware,144,345.88470146,428.78310568,-323.33044893
2025-06-06,load,Yesterday,144,1904.52106944,2077.36199415,1904.52106944
